"court_contact_type_id","court_contact_type_desc"
"975","Urgent Court Business"
"976","Chancery / Queen's Bench / Mercantile / TCC queries"
"977","County Court Urgent Business"
"978","High Court Appeals"
"979","Queen's Bench Judges' Listing"
"981","London Collection and Compliance Centre"
"982","County Court: Civil Section Fax"
"983","County Court: Family Section Fax"
"984","Listing Section Manager"
"985","PCOL Enquiries"
"986","Pre-court Listing / Charging Summonses"
"987","International Jurisdiction Office"
"989","Pre-Court Listing /Charges"
"990","TCC Issue"
"991","TCC Listing"
"992","Admiralty, Commercial and London Mercantile Court Issue"
"993","Chancery Issue"
"994","Chancery Associates / Orders and Accounts"
"995","Chancery Masters Appointments"
"996","Acting Case Management Team Leader"
"997","Pre / Post Court Team Leader"
"998","Civil Delivery Manager"
"999","Family Delivery Manager"
"1000","District Judge Civil Listing Enquiries"
"1001","Circuit Judge Civil Listing Enquiries"
"1002","Accounts Team"
"1003","Maintenance Enquiries"
"1004","Specialist Section (Chancery/Mercantile/Queen's Bench and TCC)"
"1005","Legal Aid / Pre Court Fax"
"1006","Pre-Court and Legal Aid Fax"
"1007","Listing and Case Progression Fax"
"1008","Post-Court and Results Fax"
"1009","Crime Cluster Manager"
"1010","County Court Office"
"1011","Civil, Cash and Enforcement Team Leader"
"1012","Family and Insolvency Team Leader"
"1013","On the day Enquiries"
"1014","Post Court & General office"
"1015","Designated Money Claims - CCMCC Telephone"
"1016","Designated Money Claims - CCMCC Fax"
"1017","Civil, Enforcement and Insolvency Fax"
"1018","Divorce and Assessment of Costs Fax"
"1019","Private Law and Adoption Fax"
"1020","Public Law Care Fax"
"1021","Delivery Manager"
"1022","Team Leader - Pre Court Team"
"1023","Team Leader - Post Court Team"
"1024","General Office Enquiries"
"1025","Enforcement and Fines"
"1026","Operations Manager Staffordshire and Shropshire Crime"
"1027","Operations Manager Staffordshire Civil, Family and Tribunals"
"1028","Delivery Manager Stoke on Trent Crown Court"
"1029","General Telephone Number"
"1031","Crown Fax"
"1032","Civil and Family Delivery Manager"
"1033","Crown Court Delivery Manager"
"1034","Family Team Leader"
"1035","County Court Delivery Manager"
"1036","Crown Courts Operations Manager"
"1037","Civil Courts Operations Manager"
"1038","Civil and Family Courts Operations Manager"
"1039","Business Unit Head"
"1040","Listing Officer/Manager"
"1041","Civil, Family and Tribunals Delivery Manager"
"1042","Tribunals Fax"
"1043","Operations Manager -Crime"
"1044","Operations Manager - Civil"
"1045","Delivery Manager - Crime"
"1046","Delivery Manager - Civil"
"1047","Business and Listing Manager"
"1048","Court Clerk Fax"
"1049","Civil Team Leader and Listing Officer"
"1050","Family, Enforcements and Insolvency Team Leader"
"1051","Disability Liaison Officer/ Facilities Manager"
"1052","Acting Delivery Manager"
"1053","Senior Courts Costs Office"
"1054","Conference line"
"1055","DJ Fax"
"1056","1GA"
"1057","District Registry, Administrative Court and County Court Civil"
"1058","County Court Family"
"1059","Administrative Court (Judicial Reviews) Telephone / Fax"
"1060","Adoptions Telephone/Fax"
"1061","Civil Assessments Telephone / Fax"
"1062","Diary Managers Telephone / Fax"
"1063","Divorce Telephone / Fax"
"1064","Family Assessments Telephone / Fax"
"1065","High Court Section Telephone / Fax"
"1066","Specialist Listing Telephone / Fax"
"1067","Technology and Construction Court Telephone / Fax"
"1069","Bankruptcy Telephone / Fax"
"1070","District Judge Listing (Telephone Conference Request) Telephone / Fax"
"1071","High Court Civil Listing Telephone / Fax"
"1072","Organisational Manager"
"1073","Civil Enquiries"
"1074","FPC Admin"
"1075","Family Maintenance"
"1076","Bankruptcy Enquiries"
"1077","Witness Care Unit Telephone"
"1078","Witness Care Unit Fax"
"1079","Witness Service (Court based) Telephone / Fax"
"1080","Witness Service Fax (Court based)"
"1082","Court Counter open in morning"
"1085","Family Orders"
"1086","High Court Work"
"1087","Urgent Civil Work"
"1088","Urgent Family Work"
"1089","Civil Orders"
"1090","Chancery and Mercantile"
"1091","Technology and Construction"
"1092","For appointments"
"1093","Appointments only"
"1094","Bankruptcy District Judges' Clerks"
"1095","Bankruptcy and Companies Court Issue"
"1096","Bankruptcy and Companies Court Hearings"
"1097","Bankruptcy and Companies Court Winding Up"
"1098","General Office Telephone"
"1099","Counter Appointments"
"1100","Civil Case Management"
"1101","Issue and Enforcement"
"1102","Switchboard and counter appointments"
"1103","Delivery Manager - Crown Court"
"1104","Delivery Manager - County Court"
"1105","Deputy Delivery Manager"
"1106","High Court and Administrative Court"
"1107","Delivery Manager (Pre and Post Court)"
"1108","Delivery Manager (Case Management and Customer Support)"
"1109","Crime Team Leader"
"1110","Delivery Managers"
"1111","Jury Enquiries"
"1112","Divorce Enquiries"
"1113","Employment Tribunal enquiries"
"1114","Magistrates Delivery Manager"
"1115","Magistrates' Court Delivery Manager"
"1116","Pre Court"
"1117","Gloucester, Avon and Somerset Bailiff Manager"
"1118","Operations Manager"
"1119","Crown Court List office"
"1120","County Court Acting Team Leader"
"1121","Senior Judge's Clerk"
"1122","PCC Small Claim Hearing Enquiries"
"1123","Immigration and Asylum Phone"
"1124","Immigration and Asylum Fax"
"1125","Social Security and Child Support Phone"
"1126","Social Security and Child Support Fax"
"1127","Immigration and Asylum - Phone"
"1128","Immigration and Asylum - Fax"
"1129","Social Security and Child Support - Phone"
"1130","Social Security and Child Support - Fax"
"1131","Goldfax"
"1132","Maintenance-payments/enquiries"
"1133","Cash & Civil Section Manager"
"1134","Family & Enforcement Section Manager"
"1135","Operations Manager - Crown Court"
"1136","Operations Manager - County Court"
"1137","Operations Manager - Thames Valley"
"1138","Community Resource Team"
"1139","Team Leader / Listing Officer"
"1140","Cluster Manager"
"1141","Family Officer"
"1142","Acting Listing and Accommodation Liaison"
"1143","Crown Court: Delivery Manager"
"1144","County Court: Delivery Manager"
"1145","Family hearing centre Fax"
"1146","Family Hearing Centre Fax"
"1147","Queen's Bench Action Department - Enforcement Unit"
"1148","Queen's Bench Action Department - Enforcement Section"
"1149","Queen's Bench Action Department - Master's Support Unit"
"1150","Queen's Bench - Master's Support Unit"
"1151","Acting Team Leader"
"1152","Crown Court General Enquiries Goldfax"
"1153","Crown Court Results Goldfax"
"1154","Crown Court Case Progression Goldfax"
"1155","Crown Court Listing Goldfax"
"1156","Crown Court Enquiries"
"1157","Civil and Family Team Leader"
"1158","Bailiff Goldfax"
"1159","Family/Divorce Goldfax"
"1160","Civil Goldfax"
"1161","Bankruptcy and Companies Court Registrar's Hearings"
"1162","Bankruptcy and Companies Court Filing and Records"
"1163","Bankruptcy Court Issue Fax"
"1164","Companies Court issue Fax"
"1165","Bankruptcy and Companies Court Registrar's Hearings Fax"
"1166","Companies Winding Up Fax"
"1167","Bankruotcy and Companies Court Filing and Records Fax"
"1168","Bankruptcy and Companies Court Filing and Records Fax"
"1169","London Collection and Compliance Centre"
"1170","Chancery Telephone/Fax"
"1171","Circuit Judges' Listing Telephone / Fax"
"1172","High Court Section Manager"
"1173","Fines, Confiscation and Maintenance Collection"
"1174","Fines, Confiscation and Maintenance Collection"
"1175","Fines Confiscation and Maintenance Collection"
"1176","Senior Operations Manager"
"1177","24 hour Automated telephone line"
"1178","24 hour automated payment telephone line"
"1179","Chancery Issue Fax"
"1180","Chancery Listing Fax"
"1181","General Office Gold Fax"
"1182","List Office Gold Fax"
"1183","Data File Team Fax"
"1184","Delivery Manager - Listing"
"1185","Delivery Manager ? Court Clerks"
"1186","Delivery Manager - Court Clerks"
"1187","Case Progression Fax"
"1188","Admin office fax"
"1189","Admin team"
"1190","Team Leader - County Court"
"1191","Jury reception"
"1192","Legal Representation Fax"
"1193","Divorce and Enforcement Fax"
"1194","Chancery Masters Fax"
"1195","Civil and Enforcement Section"
"1196","Daily Listing"
"1197","Forward Listing"
"1198","Daily Listing Delivery Manager"
"1199","Forward Listing Delivery Manager"
"1200","Crown Court Administration"
"1201","Listing Enquiries (for Bail applications only)"
"1202","Case Progression (for all other listing enquiries)"
"1203","Listing Enquiries (for Bail applications only) Fax"
"1204","Case Progression (for all other listing enquiries) fax"
"1205","Support Office fax"
"1206","County Court Customer Service"
"1207","Civil and Enforcement Team Leader"
"1208","County Court Enquiries"
